API_RESPONSE,REPORT_MAPPING,COMMENTS
id,Document ID unique identifier,"Not visible on summary_report but ideally to be presented on the card header as ""Doc#:"""
visa,Shipment #,
company_id,Not used,
comments,comments,"Not visible on summary_report but ideally to be presented on the card footer as ""Notes:"""
user_id,user_id,"Not visible on summary_report but ideally to be presented on the card header as ""Created by:"""
trans_type,trans_type,"Not visible on summary_report but ideally to be presented on the card footer as ""DocType:"""
from,from,
to,to,
file_name,Not used,
state,state,"Not visible on summary_report but ideally to be presented on the card footer as ""DocState:"""
export_at,Export Date,
created_at,Not used,
updated_at,Not used,
complete_at,Not used,
complete_user,Not used,
invoice,Not used,
manifest_us,Not used,
manifest_ace,Not used,
truck_box,Not used,
truck_plates,Not used,
carrier,Not used,
ramp,Not used,
doda_number,Not used,
update_at,Not used,
ID,Not used,
PART,PART,
QTY1,QTY,When option US_DATA is selected (need to add a radio button selector on the UI)
QTY2,QTY PER SET,
QTY_TOTAL_MX,Not used,
DATE,Not used,
TRUCK,Not used,
PRICE,Not used,
WEIGHT_UNIT,Not used,
ROLLS,Not used,
YDS,Not used,
SKIDS,SKID,SKID_ID per PART
CTNS,BOX,BOX_ID per PART
UNIPAKS,Not used,
PLASTIC_CONTAINERS,Not used,
CARTON_CONTAINERS,Not used,
METAL_CONTAINERS,Not used,
METAL_BUCKET,Not used,
DRUMS,Not used,
PIECES,Not used,
CRATES,Not used,
METAL_BASKET,Not used,
ROLL,Not used,
TOTAL,Not used,
COMMENTS,PART CLIENT,
TRANSACTION_ID,Not used,
PICK_ITEM,Not used,
ITEM_LOCATION,Not used,
REF_ID,Not used,
REF_TRANSACTION_ID,Not used,
REF_UM_CONV,Not used,
STORE_LOCATION,Not used,
STORE_DT,Not used,
LOAD_CHECK,Not used,
DELETE_CHECK,Not used,
UPDATE_CHECK,Not used,
ADD_CHECK,Not used,
SKIDS_PLUS,Not used,
CTNS_PLUS,Not used,
ROLLS_PLUS,Not used,
LOT_NUM,PO,
BY_TOTAL,Not used,
PROBLEM,Not used,
LABEL_CHARGE,Not used,
ROOT_ID,Not used,
MOVE_TYPE,Not used,
ROOT_QTY,Not used,
LOT,Not used,
REFERENCE,PART_REVISION_LEVEL,Used for Packing List Report Logic
PART,Not used,
SUB_PART,PART_TYPE,"Not visible on summary_report but ideally to be presented on the card footer as ""ProdType:"" summary"
PART_CUMPLE,Not used,
SUB_PART_CUMPLE,Not used,
COMMENTS,Not used,
COMPANY_ID,Not used,
DESCRIPTION,DESCRIPTION,When option US_DATA is selected (need to add a radio button selector on the UI)
ORIGIN_US,ORIGIN,Need to add a toggle button to enable/disable presenting this column
ORIGIN_MX,Not used,
UM_US,UOM,
UM_MX,Not used,
UM_CONVERSION,Not used,
HTS_MX,Not used,
HTS_US,Not used,
CODIGO,Not used,
TIPO DE MATERIA,Not used,
TIPO DE FACTURA,Not used,
TIPO_DE_FACTURA,Not used,
REGIMEN,Not used,
IMPEXP_REGIMEN,Not used,
FAMILIA,Not used,
PICTURE,Not used,
IMPEXP_CAPTURE,Not used,
ENTRY_DT,Not used,
ENTRY_USER,Not used,
READY_US,Not used,
READY_MX,Not used,
US_PRICE,Not used,
US_WEIGHT,USED TO CALCULATE TOTAL WEIGHT(LBS),"When option US_DATA is selected: Multiply US_WEIGHT by QTY1, when option MX_DATA is selected multiply US_WEIGHT by QTY1 and then multiply by 0.45359237 to convert to KG"
DESCRIPTION_CLIENT,Not used,
DESC_CUMPLE_US,DESCRIPTION,When option MX_DATA is selected and DESC_CUMPLE_US is not empty then use DESC_CUMPLE_US as DESCRIPTION
DESC_OTHER,Not used,
COO_FILE,Not used,
PICTURES,Not used,
CLIENT_APPROVAL_CHECK,Not used,
IMPEXP_DT,Not used,
IMPEXP_USER,Not used,
IMPEXP_COMMENTS,Not used,
MX_WEIGHT,Not used,
MX_PRICE,Not used,
MX_PART,PART CLIENT,When option MX_DATA is selected and MX_PART is not empty then use MX_PART as PART CLIENT
MX_SUB_PART,Not used,
CHECK_INQUEUE,Not used,
ACTIVE,Not used,
SUBMIT_DT,Not used,
PIX_APPROVAL,Not used,
PIX_APPROVAL_DT,Not used,
PIX_PENDING,Not used,
IS_FABRIC,Not used,
INIT_USER,Not used,
COUNTRY_ID,Not used,
UNIT_ID,Not used,
TYPE_ID,Not used,
STATUS,Not used,
ORIGINARIO,Not used,
require_width,Not used,
COST,UNIT COST,
LABOR,LABOR,
COMPANY_ID,Not used,
COMPANY_NAME,Client Name,
ACTIVE,Not used,
COMPANY_PREFIX,PART CLIENT,"When option US_DATA is selected and COMMENTS is empty, then trim COMPANY_PREFIX value from PART (usually first 2 characters only)"
TRANSACTION_TABLE_ID,Not used,
TRANS_REC_ID,Not used,
COMPANY_ID,Not used,
STOCK_USER,Not used,
STOCK_DT,Not used,
TRANS_LOCATION,TRANS_LOCATION,"Not visible on summary_report but ideally to be presented on the card footer as ""Type:"""
TRANSFER_USER,Not used,
TRANSFER_DT,TRANSFER_DT,"Not visible on summary_report but ideally to be presented on the card footer as ""Created at:"""
TRANS_READY,Not used,
TRANS_TRUCK,Not used,
TRANS_FACTURA,Not used,
TRANS_AGENCIA,Not used,
TRANS_CLASIFICADOR,Not used,
TRANS_PEDIMENTO,Not used,
TRANS_IE,Not used,
TRANS_MS,Not used,
TRANSFER_DT_BROKER,Not used,
IMPEXP_DT,Not used,
IMPEXP_USER,Not used,
INTRANSIT_DT,Not used,
STORE_USER,Not used,
CLOSE_USER,Not used,
TRANS_CLOSED,Not used,
CANCEL_REASON,Not used,
CANCEL_EXPLANATION,Not used,
AUTHORIZE_CHECK,Not used,
TRANS_IE_BROKER,Not used,
TRANS_RECEIVED_DT,Not used,
TRANS_CLOSE_DT,Not used,
TRANS_BULK_CHK,Not used,
TRANS_BULK_USER,Not used,
TRANS_MOD,Not used,
ADD_TRANS,Not used,
TRANS_PICKUP_USER,Not used,
TRANS_COMMENTS,Not used,
HEAT_TREATED_PALLET,Not used,
TRANS_PRO,Not used,
TRANS_DIVISION,Not used,
CARRIER_ID,Not used,
charge,Not used,